date,type,id,title,imdb,tmdb,fandango,scary-meter,release-year,release-day,runtime,plot,notes,poster,trailer
2025-10-10,Ween,The Ring (2002),The Ring,tt0298130,565,,7.9,2002,Oct 18,1h 55m,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,🏆 2022 Biggest Weener pick,https://image.tmdb.org/t/p/w500/AeRpUynJKDpJveklBJipOYrVxCS.jpg,https://www.youtube.com/watch?v=yybjV3U68wc
2025-10-10,Weenie,Wicked (2024),Wicked,tt1262426,402431,,0.0,2024,Nov 22,2h 40m,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",,https://image.tmdb.org/t/p/w500/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,https://www.youtube.com/watch?v=6COmYeLsz4c
2025-10-11,Ween,Weapons (2025),Weapons,tt26581740,1078605,,6.7,2025,Aug 08,2h 8m,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",,https://image.tmdb.org/t/p/w500/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,https://www.youtube.com/watch?v=OpThntO9ixc
2025-10-11,Weenie,"It's the Great Pumpkin, Charlie Brown (1966)","It's the Great Pumpkin, Charlie Brown",tt0060550,13353,,0.0,1966,Oct 27,25m,The Peanuts gang celebrates Halloween while Linus waits for the Great Pumpkin.,,https://image.tmdb.org/t/p/w500/59wp9OWexYsxlSPHYmVLsl5xlFt.jpg,https://www.youtube.com/watch?v=3bIexl5Et6c
2025-10-12,Ween,A Nightmare on Elm Street (1984),A Nightmare on Elm Street,tt0087800,377,,6.7,1984,Nov 16,1h 31m,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg,https://www.youtube.com/watch?v=dCVh4lBfW-c
2025-10-12,Weenie,Corpse Bride (2005),Corpse Bride,tt0121164,3933,,0.0,2005,Sep 23,1h 17m,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,https://www.youtube.com/watch?v=AGACeWVdFqo
2025-10-13,Ween,Nosferatu (2024),Nosferatu,tt5040012,426063,,6.7,2024,Dec 25,2h 12m,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,https://www.youtube.com/watch?v=nulvWqYUM8k
2025-10-13,Weenie,Bram Stoker's Dracula (1992),Bram Stoker's Dracula,tt0103874,6114,,4.3,1992,Nov 13,2h 18m,Centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and wreak havoc in the foreign land.,,https://image.tmdb.org/t/p/w500/n39glC4GkBeCbwdenES8ZBodim8.jpg,https://www.youtube.com/watch?v=CjgwUB1CXek
2025-10-14,Ween,Together (2025),Together,tt31184028,1242011,,7.2,2025,Jul 30,1h 42m,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to corrupt their lives, their love and their flesh.",,https://image.tmdb.org/t/p/w500/m52XidzKx94bKlToZfEXUnL3pdy.jpg,https://www.youtube.com/watch?v=aSR8mOPBa0I
2025-10-14,Weenie,Heart Eyes (2025),Heart Eyes,tt32558992,1302916,,4.7,2025,Feb 07,1h 37m,"When two coworkers have to survive the Heart Eyes Killer on Valentine's Day, the two have to find out who it is.",🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/ebqttF1Vjgde6uSFBEw9mta7Hd3.jpg,https://www.youtube.com/watch?v=1cRzZcMlJh8
2025-10-15,Ween,Heretic (2024),Heretic,tt28015403,1138194,,6.1,2024,Nov 08,1h 51m,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/fr96XzlzsONrQrGfdLMiwtQjott.jpg,https://www.youtube.com/watch?v=O9i2vmFhSSY
2025-10-15,Weenie,The Village (2004),The Village,tt0368447,6947,,2.9,2004,Jul 30,1h 48m,A series of events tests the beliefs of a small isolated countryside village.,,https://image.tmdb.org/t/p/w500/v7UvYtKfIVaHLaHwVgfalyrK7Ho.jpg,https://www.youtube.com/watch?v=sTGyhwvdY6k
2025-10-16,Ween,Trick 'r Treat (2007),Trick 'r Treat,tt0862856,23202,https://www.fandango.com/trick-r-treat-2025-242078/movie-overview,6.5,2007,Nov 27,1h 22m,"Five Halloween stories: A principal has a secret life, a virgin is looking for her first time, a group of kids pull a prank, a woman who loathes Halloween does not respect the rules and a mean old man meets a demonic trick-or-treater.",🍿 Theatrical Re-Release,https://image.tmdb.org/t/p/w500/w0nmol4g7n6MFfhfphV7GzHHYjB.jpg,https://www.youtube.com/watch?v=XM-IlZeWpXs
2025-10-16,Weenie,Lisa Frankenstein (2024),Lisa Frankenstein,tt21188080,993784,,2.8,2024,Feb 09,1h 41m,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.",,https://image.tmdb.org/t/p/w500/jAW7ZdIm4HLKB3g15uMOWYNdU8r.jpg,https://www.youtube.com/watch?v=POOeA3zCuUY
2025-10-17,Ween,Black Phone 2 (2025),Black Phone 2,tt29644189,1197137,https://www.fandango.com/the-black-phone-2-2025-240922/movie-overview,?,2025,Oct 17,1h 54m,"As Finn, now 17, struggles with life after his captivity, his sister begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp known as Alpine Lake.",🎉 Release Day,https://image.tmdb.org/t/p/w500/d9kDYFoQzcmhWtmncJhKsFq8KoH.jpg,https://www.youtube.com/watch?v=DdR-gzFZoDk
2025-10-17,Weenie,Frankenstein (2025),Frankenstein,tt1312221,1062722,https://www.fandango.com/frankenstein-2025-242511/movie-overview,?,2025,Oct 17,2h 29m,"Dr. Pretorius tracks down Frankenstein's monster, who is believed to have died in a fire forty years before, in order to continue the experiments of Dr. Victor Frankenstein.",🎉 Release Day,https://image.tmdb.org/t/p/w500/2ixPMFWyKtQ9C4ROo9xA12ci2yU.jpg,https://www.youtube.com/watch?v=x--N03NO130
2025-10-18,Ween,Locked (2025),Locked,tt26671996,1083968,,4.6,2025,Mar 21,1h 35m,A thief breaking into a luxury SUV realizes that he has slipped into a sophisticated game of psychological horror.,,https://image.tmdb.org/t/p/w500/hhkiqXpfpufwxVrdSftzeKIANl3.jpg,https://www.youtube.com/watch?v=MHAf0S9kEZw
2025-10-18,Weenie,The Silence of the Lambs (1991),The Silence of the Lambs,tt0102926,274,,6.1,1991,Feb 14,1h 58m,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,https://www.youtube.com/watch?v=6iB21hsprAQ
2025-10-19,Ween,It (2017),It,tt1396484,346364,,6.6,2017,Sep 08,2h 15m,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,https://www.youtube.com/watch?v=FnCdOQsX5kc
2025-10-19,Weenie,Killer Klowns from Outer Space (1988),Killer Klowns from Outer Space,tt0095444,16296,,3.2,1988,May 27,1h 28m,Aliens who look like clowns come from outer space and terrorize a small town.,,https://image.tmdb.org/t/p/w500/nOC22f6kzrKPWXBoYr2XNWfMFEh.jpg,https://www.youtube.com/watch?v=ETiSMS4i1as
2025-10-20,Ween,The Shining (1980),The Shining,tt0081505,694,,7.6,1980,Jun 13,2h 26m,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",,https://image.tmdb.org/t/p/w500/xazWoLealQwEgqZ89MLZklLZD3k.jpg,https://www.youtube.com/watch?v=FZQvIJxG9Xs
2025-10-20,Weenie,Doctor Sleep (2019),Doctor Sleep,tt5606664,501170,,6.1,2019,Nov 08,2h 32m,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",,https://image.tmdb.org/t/p/w500/p69QzIBbN06aTYqRRiCOY1emNBh.jpg,https://www.youtube.com/watch?v=2msJTFvhkU4
2025-10-21,Ween,Dangerous Animals (2025),Dangerous Animals,tt32299316,1285965,,8.0,2025,Jun 06,1h 38m,"When Zephyr, a savvy and free-spirited surfer, is abducted by a shark-obsessed serial killer and held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",,https://image.tmdb.org/t/p/w500/oQJ1PKLIE2gF5cr3xwjLCvv4jcU.jpg,https://www.youtube.com/watch?v=WR2btzjmmuc
2025-10-21,Weenie,Jaws (1975),Jaws,tt0073195,578,,4.9,1975,Jun 20,2h 4m,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",,https://image.tmdb.org/t/p/w500/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,https://www.youtube.com/watch?v=U1fu_sA7XhE
2025-10-22,Ween,Sinners (2025),Sinners,tt31193180,1233413,,5.6,2025,Apr 18,2h 17m,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg,https://www.youtube.com/watch?v=bKGxHflevuk
2025-10-22,Weenie,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,tt0073629,36685,,0.0,1975,Dec 18,1h 40m,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,https://www.youtube.com/watch?v=4plqh6obZW4
2025-10-23,Ween,Jeepers Creepers (2001),Jeepers Creepers,tt0263488,8922,,7.0,2001,Aug 31,1h 30m,A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,,https://image.tmdb.org/t/p/w500/g410Y1U1ELbmJG14Zru3UAimm1G.jpg,https://www.youtube.com/watch?v=5T7TFIOZ2xU
2025-10-23,Weenie,Duel (1971),Duel,tt0067023,839,,5.2,1971,Nov 13,1h 30m,A business commuter is pursued and terrorized by the malevolent driver of a massive tractor-trailer.,,https://image.tmdb.org/t/p/w500/w9Vk1Txx14vWvACELFYFlixrsfr.jpg,https://www.youtube.com/watch?v=SutDTIhbQ2g
2025-10-24,Ween,Drag Me To Hell (2009),Drag Me To Hell,tt1127180,16871,,5.9,2009,May 29,1h 39m,An ambitious loan officer must find a way to shatter a curse that threatens her soul with damnation.,,https://image.tmdb.org/t/p/w500/fdyejM5Zd6dsa0YyWa02ZAKwQzK.jpg,https://www.youtube.com/watch?v=PPOaxHqoYxo
2025-10-24,Weenie,Sabrina the Teenage Witch (1996),Sabrina the Teenage Witch,tt0117534,15674,,0.0,1996,Apr 07,1h 31m,"Sent by her parents to live with her two eccentric aunts, Sabrina Sawyer discovers on her 16th birthday that she's a witch.",,https://image.tmdb.org/t/p/w500/mpWf9g1B1PGhoatOBcC5r9RglEM.jpg,https://www.youtube.com/watch?v=JpwtZ4o44zg
2025-10-25,Ween,Evil Dead (2013),Evil Dead,tt1288558,109428,,8.0,2013,Apr 05,1h 31m,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",,https://image.tmdb.org/t/p/w500/1gDV0Lm9y8ufIKzyf0h0GBgb9Zj.jpg,https://www.youtube.com/watch?v=Im6koyYDwcA
2025-10-25,Weenie,Army of Darkness (1992),Army of Darkness,tt0106308,766,,2.5,1992,Feb 19,1h 21m,"When Ash Williams is accidentally transported to 1300 A.D., he must retrieve the Necronomicon and battle an army of the dead in order to return home.",,https://image.tmdb.org/t/p/w500/xsgTuAtR2zSH8Umg3jWZcZjlDpe.jpg,https://www.youtube.com/watch?v=CZ-wU5RXw2o
2025-10-26,Ween,House of Wax (2005),House of Wax,tt0397065,10066,,6.9,2005,May 06,1h 53m,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,,https://image.tmdb.org/t/p/w500/aCLSgw1DaqkRvosYc3YUttBTtpT.jpg,https://www.youtube.com/watch?v=k0TJiqigSKM
2025-10-26,Weenie,Monster House (2006),Monster House,tt0385880,9297,,0.0,2006,Jul 21,1h 31m,"Three teens discover that their neighbor's house is really a living, breathing, scary monster.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/zCRPr4bkO3ae0U1134vJ39xZnAG.jpg,https://www.youtube.com/watch?v=yB9vThNAIjs
2025-10-27,Ween,Bring Her Back (2025),Bring Her Back,tt32246771,1151031,,7.8,2025,May 30,1h 39m,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.,🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/1Q3GlCXGYWELifxANYZ5OVMRVZl.jpg,https://www.youtube.com/watch?v=1I15ttCedfY
2025-10-27,Weenie,Coraline (2009),Coraline,tt0327597,14836,,4.7,2009,Feb 06,1h 40m,"Wandering her rambling old house in her boring new town, a young girl discovers a hidden door to a strangely idealized version of her life that seems too good to be true.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,https://www.youtube.com/watch?v=vlv4yzsmwyI
2025-10-28,Ween,28 Years Later (2025),28 Years Later,tt10548174,1100988,,5.9,2025,Jun 20,1h 55m,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors.",,https://image.tmdb.org/t/p/w500/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,https://www.youtube.com/watch?v=mcvLKldPM08
2025-10-28,Weenie,Scouts Guide to the Zombie Apocalypse  (2015),Scouts Guide to the Zombie Apocalypse ,tt1727776,273477,,?,2015,Oct 30,1h 33m,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",,https://image.tmdb.org/t/p/w500/lUKvvSnjFlazrdh6wyHxHrdMknD.jpg,https://www.youtube.com/watch?v=ZOhSbNJ7MqI
2025-10-29,Ween,Until Dawn (2025),Until Dawn,tt30955489,1232546,,5.7,2025,Apr 25,1h 43m,"A group of friends trapped in a time loop, where mysterious foes chase and kill them in gruesome ways, must survive until dawn to escape it.",,https://image.tmdb.org/t/p/w500/bLY5yN4MKVynZ2HMZWElTOGBgBe.jpg,https://www.youtube.com/watch?v=2b3vBaINZ7w
2025-10-29,Weenie,The Nightmare Before Christmas (1993),The Nightmare Before Christmas,tt0107688,9479,,0.0,1993,Oct 29,1h 16m,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",,https://image.tmdb.org/t/p/w500/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,https://www.youtube.com/watch?v=Y0xheV_0AKg
2025-10-30,Ween,Aliens (1986),Aliens,tt0090605,679,,3.7,1986,Jul 18,2h 17m,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",,https://image.tmdb.org/t/p/w500/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,https://www.youtube.com/watch?v=oSeQQlaCZgU
2025-10-30,Weenie,Ghostbusters (1984),Ghostbusters,tt0087332,620,,0.0,1984,Jun 08,1h 45m,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/7E8nLijS9AwwUEPu2oFYOVKhdFA.jpg,https://www.youtube.com/watch?v=wQAljlSmjC8
2025-10-31,Ween,31 (2016),31,tt3835080,284564,,4.8,2016,Sep 16,1h 42m,"Five carnival workers are kidnapped and held hostage in an abandoned, hellish compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",,https://image.tmdb.org/t/p/w500/jHkIIkP4O0vUkSACcizOPZQIiF7.jpg,https://www.youtube.com/watch?v=wgV3nlFpMgk
2025-10-31,Ween,Halloween (1978),Halloween,tt0077651,948,,6.4,1978,Oct 27,1h 31m,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.",,https://image.tmdb.org/t/p/w500/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg,https://www.youtube.com/watch?v=oVgtguYmNBg
2025-10-31,Ween,All Hallow's Eve (2013),All Hallow's Eve,tt2900624,231001,,6.9,2013,Oct 29,1h 23m,"While babysitting two children on Halloween, a babysitter finds a VHS tape in one of their candy bags. The tape contains three horror stories, linked by a killer clown. As the night progresses, strange things happen in the house.",,https://image.tmdb.org/t/p/w500/bSe8CBqK8HkbP6sqZWzcJfQV9Ci.jpg,https://www.youtube.com/watch?v=OCbgfnVXM3I
2025-10-31,Weenie,The David S. Pumpkins Halloween Special (2017),The David S. Pumpkins Halloween Special,tt7452910,478639,,0.0,2017,Oct 28,21m,"Set in a small suburban town on All Hallows' Eve and centers on Pumpkins and his dancing skeleton sidekicks, who show a young boy and his sister the true meaning of Halloween.",,https://image.tmdb.org/t/p/w500/3uoVw6eGWi3ek9c0DYP4r0O6AkX.jpg,https://www.youtube.com/watch?v=tML85kQfy0c
2025-10-31,Weenie,Hocus Pocus (1993),Hocus Pocus,tt0107120,10439,,0.0,1993,Jul 16,1h 36m,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/by4D4Q9NlUjFSEUA1yrxq6ksXmk.jpg,https://www.youtube.com/watch?v=F4e6YQFrt1s
2025-10-31,Weenie,Spirit Halloween: The Movie (2022),Spirit Halloween: The Movie,tt11426228,961427,,?,2022,Oct 11,1h 27m,"When a Halloween store opens in a deserted strip-mall, three friends, thinking they've outgrown trick or treating, decide to spend the night locked inside. But their night of spook-filled fun soon turns to outlandish survival.",,https://image.tmdb.org/t/p/w500/akWDID6zfsWHJhGCAAcbwbytU55.jpg,https://www.youtube.com/watch?v=s2b1w-4RKpM
,Bonus,2001: A Space Odyssey (1968),2001: A Space Odyssey,tt0062622,62,,0.0,1968,May 12,1h 54m,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",,https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,https://www.youtube.com/watch?v=Z2UWOeBcsJI
,Bonus,Frankenstein vs. the Mummy (2015),Frankenstein vs. the Mummy,tt3295482,319188,,?,2015,Feb 10,1h 54m,"The mummy of a cursed pharaoh and a reanimated corpse terrorize a medical university. Only an Egyptologist and a college professor, the deranged Dr. Frankenstein, may be able to stop the creatures before it's too late.",,https://image.tmdb.org/t/p/w500/bZMW2zU5JwmLAQ81hy0TolXiHBC.jpg,https://www.youtube.com/watch?v=8n8WkoBW_Ic
,Bonus,Bubba Ho-Tep (2002),Bubba Ho-Tep,tt0281686,9707,,?,2002,Oct 10,1h 54m,"When residents of their nursing home start dying of dubious causes, an aged Elvis and an African-American senior who claims to be President John F. Kennedy discover that the perpetrator is an Egyptian mummy with murderous intentions.",,https://image.tmdb.org/t/p/w500/pKQBit5ZV7GEOTiMBSYC6xBn86K.jpg,https://www.youtube.com/watch?v=pXGP07vrab8
,Bonus,Community (S3 E5),Community: Horror Fiction in Seven Spooky Steps,tt2063145,18347,,0.0,2011,Oct 27,21m,"During her pre-Halloween party, Britta gets everyone to tell a spooky story so that she can find out which member of the study group scored out as a psychopath on their psychology profiles.",Season 3 Episode 5 🏆 2024 Biggest Weener pick,https://www.themoviedb.org/t/p/w1280/3KUjDt8XY7w2Ku70UE0SECmv1zP.jpg,https://www.youtube.com/watch?v=lsPq9dBU7Gk
